Profile,r,p,N_pairs
1,0.0553203665562837,0.00304074174743015,2868
2,-0.101685999589487,5.38717954306058e-20,8068
3,-0.0701053502929501,1.1155213677363e-09,7535
4,0.0251201371593694,0.073073431692334,5092
5,-0.359318711657539,5.25768766397506e-103,3362
6,0.250933699825387,6.98223239914972e-85,5863
7,-0.0327582109043409,0.0254165365567156,4655
8,0.163128655010658,3.16096211071332e-31,5011
9,0.0111812401001514,0.303975067729467,8454
10,-0.183947105229154,7.21773213995872e-45,5741
11,-0.140649964771628,1.75067372973535e-38,8425
12,-0.157046823458567,8.50523227193576e-66,11756
13,-0.11517791990905,1.29409826159379e-25,8198
14,-0.25968556294739,1.41119142404785e-43,2747
15,-0.00841483139305819,0.597753832189185,3934
16,-0.212576522717606,1.65116634822761e-29,2754
17,-0.58722794184638,0,5383
18,-0.29713824059146,5.76292736756395e-92,4478
19,0.018212202260067,0.342201823087029,2722
20,-0.0523267237429541,8.51357329629547e-05,5634
21,-0.0757688248649033,4.12472352477198e-07,4455
22,-0.247040803987855,1.13762497493697e-82,5894
23,-0.204194307561909,1.15193039132309e-35,3651
24,0.0451192955653064,0.000776454974648093,5546
25,-0.36564887854625,1.23390548205008e-124,3931
26,-0.00618078609221225,0.729973922141399,3121
27,-0.134453210056932,2.23582632886935e-31,7445
28,-0.120876832745722,3.00845508577265e-12,3310
29,-0.352081380021222,2.92355325621449e-127,4354
30,-0.406721007978114,1.07071299668295e-90,2258
31,-0.131516576998931,1.00583739129573e-23,5781
32,0.254466103929569,1.13690004587953e-96,6505
33,-0.258330789967962,4.427353875167e-40,2545
34,0.164350067723379,6.01964687791146e-20,3056
35,-0.322385805566916,8.65025074086662e-91,3723
36,-0.300693921169254,2.57702361779176e-82,3900
37,-0.123591793030658,3.68363605026428e-13,3433
38,-0.346190236404816,9.34072306706014e-155,5504
39,-0.339074952856707,1.98389283677503e-130,4837
40,-0.128313367826929,4.6450649609927e-11,2612
41,-0.185323067445318,1.44411375815074e-28,3520
42,-0.142924998159835,5.73444623794092e-12,2300
43,-0.0614027110322976,0.000388179950113593,3335
44,0.000144511351782862,0.995297260470771,1666
45,-0.204671692268149,1.11916307041008e-43,4491
46,0.22823597744275,1.60078277228007e-73,6152
47,-0.155019893329938,5.11811345506026e-18,3079
48,-0.464012068507557,1.64706727754987e-92,1719
49,-0.332026532952058,1.34920946502319e-121,4710
50,0.215158335066406,6.72041782575233e-26,2339
51,-0.588734749383816,0,3952
52,-0.351805464761053,1.19700061334771e-126,4340
53,-0.0315378042160807,0.0717456058951736,3261
54,-0.116916147938533,7.34867290606859e-10,2758
55,0.133415080402145,4.73460460875525e-16,3672
56,-0.0158216094151752,0.242533114496702,5458
57,-0.129399727017461,3.83346831415569e-16,3930
58,-0.218755475697982,8.22421748471533e-44,3932
59,-0.0272432286346329,0.136858599524273,2983
60,0.381794584226186,1.66544514659785e-65,1857
61,-0.16581816326911,2.52451715870977e-15,2248
62,-0.192968824508986,1.69624408407668e-18,2032
63,-0.373570689937174,3.85472430875665e-81,2424
64,-0.251443934486751,1.34542399349321e-44,3008
